GeneID,logFC,AveExpr,t,P.Value,adj.P.Val,B,R,feature,class,chromosome,start,end,name,product_accession,Jr-GeneID,Jr-chromosome,Subcell_loc,Score,Parent_haplotype
109016198,-7.29149268253746,1.8501301828024,-5.88553423189126,3.07925001027421e-06,0.000462245553867908,3.72473866021384,0.681242118616781,CDS,with_protein,8,25240305,,dehydrin DHN1-like,XP_035549466.1,,,C:nucleus,1,J.regia
109017709,-6.74300500816313,5.01645887441894,-6.12743722754095,1.63944396460001e-06,0.000341374541661067,4.92800859465269,0.695825927233686,CDS,with_protein,15,5713036,,uncharacterized protein LOC109017709,XP_035541988.1,,,C:nucleus,1,J.regia
109004718,-6.54457796946063,9.37707457591701,-5.57446211827856,6.97308149399646e-06,0.000633961141461227,3.78602078202275,0.661219527864463,CDS,with_protein,7,17915184,,late embryogenesis abundant protein D-29,XP_018838898.2,,,C:extracellular space,0.82,J.regia
109021176,-5.38609226374852,0.636236151831823,-6.58240901557355,5.08567468633471e-07,0.000335360390124891,4.20876113568754,0.721089386120179,CDS,with_protein,11,30074105,,E3 ubiquitin-protein ligase UPL1-like isoform X1,XP_018859300.1,,,C:extracellular space,0.6,J.regia
118349596,-5.23529283659898,9.50307061937013,-5.15816188761005,2.10101916694709e-05,0.000957599405646174,2.79909668522989,0.632027862963522,ncRNA,lncRNA,10,6758733,,uncharacterized LOC118349596,XR_004802575.1,,,"",,J.regia
121268603,-5.22023696283278,11.5293807441823,-5.56664042541418,7.11848778087296e-06,0.00063819220313243,3.79742636641861,0.660696904848928,CDS,with_protein,5S,8096066,8096422,uncharacterized protein LOC121268603,XP_041028861.1,108993380,4,C:extracellular space,0.7,J.microcarpa
109022106,-5.12690911150425,0.918346971127002,-4.56919762503884,0.000100811104524246,0.00161874547190052,0.798147208066678,0.585613795440859,CDS,with_protein,10,8877504,,cytochrome P450 78A7-like,XP_018860457.1,,,C:endomembrane system,0.78,J.regia
108989061,4.9855489532535,3.26674094366876,4.44094038698205,0.000141788284927782,0.00189069842197541,0.490707612298293,0.574656003437575,CDS,with_protein,1,21070989,,desmethylxanthohumol 6'-O-methyltransferase-like,XP_018818080.1,,,C:cytoplasm,0.53,J.regia
121249183,-4.93019413964191,6.59591733555108,-5.80249153964719,3.82742949535653e-06,0.000516431356625633,4.2535943338623,0.676040010060852,CDS,with_protein,2D,325909,326637,"light-regulated protein 1, chloroplastic",XP_041003832.1,109001297,1,C:chloroplast,1,J.microcarpa
121263736,4.8034608784578,2.63279888016479,4.71327801019277,6.86891816758246e-05,0.00137565540592389,0.951060401974933,0.597551774889967,CDS,with_protein,4S,1043509,1043877,14 kDa proline-rich protein DC2.15-like,XP_041022734.1,109002793,8,C:plasma membrane,1,J.microcarpa
109011537,4.72965130437028,7.90576962738245,5.07044599892563,2.65307952989578e-05,0.00103791687063499,2.00938903728631,0.625507233284913,CDS,with_protein,2,32961391,,pEARLI1-like lipid transfer protein 3,XP_018848335.1,,,C:plasma membrane,1,J.regia
109002793,4.62943779778737,1.79778925114137,4.83096465904152,5.02019081395549e-05,0.00125702130728552,1.00747577551518,0.607017113067189,CDS,with_protein,8,1118675,,14 kDa proline-rich protein DC2.15-like,XP_018836233.2,,,C:plasma membrane,1,J.regia
121248876,4.61724025186552,1.80376038462921,4.36433479574778,0.000173774040387328,0.00205441653974396,0.166104423455468,0.567959805841794,CDS,with_protein,2D,20833042,20834227,desmethylxanthohumol 6'-O-methyltransferase-like,XP_041003420.1,108989061,1,C:cytoplasm,0.58,J.microcarpa
121237960,-4.58908957379771,16.1279238871555,-4.6552296984541,8.01744399596367e-05,0.0014472848849616,1.57401912496977,0.592788873791374,CDS,with_protein,1D,17558112,17559107,late embryogenesis abundant protein D-29-like,XP_040990832.1,109004718,7,C:extracellular space,0.8,J.microcarpa
118343653,-4.51883832407729,2.89329655935055,-4.62762023094192,8.62910426063478e-05,0.00149563435301645,1.28146002976098,0.590501419748695,CDS,with_protein,8,25218108,,dehydrin DHN1-like,XP_035549467.1,,,C:nucleus,1,J.regia
