GeneID,logFC,AveExpr,t,P.Value,adj.P.Val,B,R,feature,class,chromosome,start,end,name,product_accession,Jr-GeneID,Jr-chromosome,Subcell_loc,Score,Parent_haplotype
109004718,-7.50455629793452,9.37707457591701,-3.16121131048393,0.00390229525939876,0.0391746748046952,-1.94782934943158,0.447092939600424,CDS,with_protein,7,17915184,,late embryogenesis abundant protein D-29,XP_018838898.2,,,C:extracellular space,0.82,J.regia
121249183,-6.87412812116867,6.59591733555108,-3.16307471817592,0.0038842697127185,0.039116815594266,-2.05443146671386,0.447303765500728,CDS,with_protein,2D,325909,326637,"light-regulated protein 1, chloroplastic",XP_041003832.1,109001297,1,C:chloroplast,1,J.microcarpa
109016198,-6.60687027395136,1.8501301828024,-2.98932788455369,0.0059579263452251,0.04475293247847,-2.72791243766196,0.427325647338319,CDS,with_protein,8,25240305,,dehydrin DHN1-like,XP_035549466.1,,,C:nucleus,1,J.regia
121268603,-5.57183447433907,11.5293807441823,-2.93718933772615,0.00676295987238534,0.0478672214651836,-2.3316090877447,0.4212043443409,CDS,with_protein,5S,8096066,8096422,uncharacterized protein LOC121268603,XP_041028861.1,108993380,4,C:extracellular space,0.7,J.microcarpa
121251444,-4.84761651710798,4.09748575679946,-4.65459639141437,7.98090424375989e-05,0.0114481637541045,0.242792321076603,0.59273656409062,CDS,with_protein,2S,5610154,5611522,uncharacterized protein LOC121251444 isoform X1,XP_041006639.1,109007630,10,C:nucleus,1,J.microcarpa
108984104,-4.49637160879034,61.2348323656139,-3.57289357462234,0.00137689034558768,0.0271972747636589,-1.00994396977258,0.491863696509829,ncRNA,lncRNA,1,2406665,,uncharacterized LOC108984104,XR_001994969.2,,,"",,J.regia
118345731,-4.15466283403598,33.7834447467801,-4.75662239674372,6.0795053499482e-05,0.00981080175847891,1.47619960672284,0.601067468983728,CDS,with_protein,"",31740,,endochitinase 2-like,XP_035542912.1,,,C:extracellular space,1,J.regia
109021176,-3.81956567901488,0.636236151831823,-2.90677575914501,0.00727918649261711,0.0487418556118708,-3.06046300887033,0.417606811095402,CDS,with_protein,11,30074105,,E3 ubiquitin-protein ligase UPL1-like isoform X1,XP_018859300.1,,,C:extracellular space,0.6,J.regia
109008986,3.78298405161713,6.67857812180596,4.84190062616013,4.84241726054394e-05,0.00919347159317974,0.845278156413126,0.60788382552688,CDS,with_protein,16,25638997,,germin-like protein subfamily 1 member 13,XP_018844852.1,,,C:extracellular space,0.94,J.regia
108985005,3.69148360735398,7.12202737968532,2.98901759979672,0.0059624356206792,0.04475293247847,-2.31092419592123,0.427289390577847,CDS,with_protein,9,21468460,,probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840,XP_035549629.1,,,C:plasma membrane,0.91,J.regia
108998169,-3.68152908215262,2.54231608366346,-4.48145960405868,0.000126592275974698,0.0139207660180059,-0.163654264053469,0.578151885034184,ncRNA,lncRNA,15,5715457,,"uncharacterized LOC108998169, transcript variant X1",XR_004798487.1,,,"",,J.regia
109011509,-3.66960297597762,58.6181985995906,-4.82911763076784,5.01040775982759e-05,0.00924062345419631,2.00355494351488,0.606870515578052,CDS,with_protein,4,30295206,,uncharacterized protein LOC109011509,XP_018848297.1,,,C:nucleus,1,J.regia
108992399,3.60530845775597,0.633726697491455,3.06159709027394,0.00499167750665096,0.0421758988364894,-2.89844130552786,0.435714107016716,ncRNA,lncRNA,12,11708052,,"uncharacterized LOC108992399, transcript variant X1",XR_001996311.2,,,"",,J.regia
121241387,3.490129926591,0.632224084218284,2.94376978201093,0.0066559341223683,0.0477432248687363,-3.02732486139667,0.421980124868046,ncRNA,lncRNA,1D,6175342,6181034,"uncharacterized LOC121241387, transcript variant X1",XR_005935716.1,,"","",,J.microcarpa
121261538,3.3824270295027,2.46017922780862,4.36757255752615,0.00017137745782292,0.0153644651423188,-0.43849772971275,0.568245135957217,CDS,with_protein,4D,30605794,30611288,endoplasmic reticulum-Golgi intermediate compartment protein 3-like,XP_041019895.1,109003827,8,C:endomembrane system,0.89,J.microcarpa
121261192,-3.18105594402347,10.5199801408822,-3.50605433945447,0.00163441271507071,0.0279844405193141,-1.25277672837046,0.484840940294567,CDS,with_protein,1D,42422863,42423878,uncharacterized protein LOC121261192,XP_041019368.1,108981955,7,C:nucleus,1,J.microcarpa
108983669,-3.15069276960235,38.3308668866876,-5.38939228933172,1.12720908153843e-05,0.00638496903285431,3.15131597757766,0.648592544677327,ncRNA,lncRNA,12,30459235,,"uncharacterized LOC108983669, transcript variant X1",XR_001994911.2,,,"",,J.regia
121266217,-3.07794059410189,0.555964804369605,-3.17074945305097,0.00381086733773538,0.0386779067061036,-2.81720257881243,0.448171299121914,ncRNA,lncRNA,5D,23420176,23421031,uncharacterized LOC121266217,XR_005940759.1,,"","",,J.microcarpa
108981955,-3.07451575980677,16.2097927932288,-2.94056568132979,0.00670784379956199,0.0477432248687363,-2.30890210021883,0.421602503256562,CDS,with_protein,7,44629429,,uncharacterized protein LOC108981955,XP_018808762.2,,,C:nucleus,1,J.regia
109006717,2.98953359041187,4.89916902139705,5.04151307636475,2.84358160976848e-05,0.00744277239847921,0.922381009879536,0.623327188415265,CDS,with_protein,16,22865518,,transaldolase,XP_018841632.2,,,C:chloroplast outer membrane,0.82,J.regia
108997033,2.848940658846,8.92629145551403,3.2932771265846,0.00280485129472757,0.0343771243832216,-1.70338444839642,0.461850345100075,CDS,with_protein,9,20257051,,salutaridine reductase-like,XP_035549910.1,,,C:organelle membrane,0.81,J.regia
121249738,-2.83138279223152,71.2113269744999,-5.03640515481923,2.88256095990674e-05,0.00744277239847921,2.51735026636976,0.622940798150284,ncRNA,lncRNA,2D,1880716,1881729,uncharacterized LOC121249738,XR_005937638.1,,"","",,J.microcarpa
109014998,-2.79950189919606,1.87866253537684,-2.94196152091445,0.00668518269760391,0.0477432248687363,-2.8186775877857,0.421767037925442,CDS,with_protein,7,16322769,,universal stress protein PHOS32-like,XP_018853037.1,,,C:nucleus,1,J.regia
121251471,2.6906713819532,7.38060522866168,3.02125509543751,0.00551090271675275,0.0434083393494879,-2.24535261523819,0.431045317527187,CDS,with_protein,2S,12634388,12635992,peroxidase 3-like,XP_041006665.1,109020639,10,C:endomembrane system,0.87,J.microcarpa
121248920,-2.6387067974739,36.9937362572057,-3.14634474254058,0.0040490078816684,0.0397602843827594,-1.88799259502736,0.445408266964889,CDS,with_protein,1D,38891677,38895173,homocysteine S-methyltransferase 3-like,XP_041003468.1,108989475,7,C:cytoplasm,0.7,J.microcarpa
121263687,-2.60559609773705,12.23568240467,-3.73642620995344,0.00090230442830347,0.0244775543612863,-0.765074120988289,0.508647477144622,CDS,with_protein,4S,586956,589381,"phospholipid hydroperoxide glutathione peroxidase 1, chloroplastic-like",XP_041022659.1,109001005,8,C:mitochondrion,0.8,J.microcarpa
108980010,-2.55895332187353,11.7957297291948,-3.16243263481945,0.00389047182207882,0.039116815594266,-1.8923176295909,0.447231128622449,CDS,with_protein,12,31004051,,taxadien-5-alpha-ol O-acetyltransferase-like,XP_018806367.2,,,C:nucleus,1,J.regia
