GeneID,logFC,AveExpr,t,P.Value,adj.P.Val,B,R,feature,class,chromosome,start,end,name,product_accession,Jr-GeneID,Jr-chromosome,Subcell_loc,Score,Parent_haplotype
109016198,-6.54226075689294,1.8501301828024,-6.50539872855288,6.19935829905999e-07,0.000121570161413917,5.4303949659127,0.717002514525367,CDS,with_protein,8,25240305,,dehydrin DHN1-like,XP_035549466.1,,,C:nucleus,1,J.regia
109017709,-5.68688786734793,5.01645887441894,-6.91779676564815,2.1800086166435e-07,7.40629243180726e-05,6.72526889206698,0.738044083446361,CDS,with_protein,15,5713036,,uncharacterized protein LOC109017709,XP_035541988.1,,,C:nucleus,1,J.regia
109004718,-5.4429979101897,9.37707457591701,-5.74999051847798,4.39748281826972e-06,0.000268989723560427,4.25858758307211,0.672698080369385,CDS,with_protein,7,17915184,,late embryogenesis abundant protein D-29,XP_018838898.2,,,C:extracellular space,0.82,J.regia
109021176,-5.24479088219164,0.636236151831823,-7.03010951042135,1.64556735369358e-07,6.63883579255754e-05,5.59111032312593,0.743427861091927,CDS,with_protein,11,30074105,,E3 ubiquitin-protein ligase UPL1-like isoform X1,XP_018859300.1,,,C:extracellular space,0.6,J.regia
109022106,-4.89236538216525,0.918346971127002,-4.97496845682114,3.42336314160073e-05,0.000701517748540721,1.87988014242487,0.618257511705804,CDS,with_protein,10,8877504,,cytochrome P450 78A7-like,XP_018860457.1,,,C:endomembrane system,0.78,J.regia
121237960,-4.88370294220083,16.1279238871555,-7.33240638441601,7.77768005086063e-08,4.18374372735878e-05,8.09902154021667,0.757230396732521,CDS,with_protein,1D,17558112,17559107,late embryogenesis abundant protein D-29-like,XP_040990832.1,109004718,7,C:extracellular space,0.8,J.microcarpa
121268603,-4.77799923548949,11.5293807441823,-6.59544241499076,4.92655743211709e-07,0.000109658373187296,6.33040179751351,0.721773707177614,CDS,with_protein,5S,8096066,8096422,uncharacterized protein LOC121268603,XP_041028861.1,108993380,4,C:extracellular space,0.7,J.microcarpa
118349596,-4.55874152170687,9.50307061937013,-5.34303729228008,1.28720803503351e-05,0.000445796668854708,3.2691661577308,0.645343085036645,ncRNA,lncRNA,10,6758733,,uncharacterized LOC118349596,XR_004802575.1,,,"",,J.regia
118343653,-4.44369516991894,2.89329655935055,-4.9484410117307,3.67391780802678e-05,0.000727458265362358,2.15006719542532,0.616214736857051,CDS,with_protein,8,25218108,,dehydrin DHN1-like,XP_035549467.1,,,C:nucleus,1,J.regia
118343653,-4.44369516991894,2.89329655935055,-4.9484410117307,3.67391780802678e-05,0.000727458265362358,2.15006719542532,0.616214736857051,CDS,with_protein,8,25218108,,dehydrin DHN1-like,XP_018810669.2,,,C:nucleus,1,J.regia
118343653,-4.44369516991894,2.89329655935055,-4.9484410117307,3.67391780802678e-05,0.000727458265362358,2.15006719542532,0.616214736857051,CDS,with_protein,8,25218108,,dehydrin DHN1-like,XP_035549468.1,,,C:nucleus,1,J.regia
108998592,-4.34897912436634,2.89687450585866,-4.64560241138193,8.23079974286584e-05,0.0011256316173771,1.40549619320257,0.591992871899686,CDS,with_protein,1,9264782,,uncharacterized protein LOC108998592,XP_018830719.1,,,C:nucleus,1,J.regia
109014998,-4.31206189982882,1.87866253537684,-8.92856760793788,1.80690504758892e-09,1.16635720821865e-05,9.73249639078415,0.816017874051262,CDS,with_protein,7,16322769,,universal stress protein PHOS32-like,XP_018853037.1,,,C:nucleus,1,J.regia
108987644,4.27275487107104,1.32989217392306,7.87766220080593,2.07214687448635e-08,2.2292846791349e-05,8.15958895276869,0.779784789966951,CDS,with_protein,10,34438075,,triphosphate tunnel metalloenzyme 3-like,XP_018816133.1,,,C:nucleus,1,J.regia
121249183,-4.24389723708183,6.59591733555108,-5.24982137372828,1.64831202982572e-05,0.000485838089156395,3.00539310125675,0.638701151543088,CDS,with_protein,2D,325909,326637,"light-regulated protein 1, chloroplastic",XP_041003832.1,109001297,1,C:chloroplast,1,J.microcarpa
121266217,-4.10965664344347,0.555964804369605,-6.60228006825824,4.84150456884607e-07,0.000109658373187296,4.66013187860432,0.722131875073598,ncRNA,lncRNA,5D,23420176,23421031,uncharacterized LOC121266217,XR_005940759.1,,"","",,J.microcarpa
